name,value,units,constant_value,initial_value
pd1_occ_internalization_per_day,0.01,1/day,True,
pd1_pk_tau_decay_days,21.0,day,True,
pd1_pk_half_max,0.01,dimensionless,True,
pd1_pk_dose_scale,150000.0,dimensionless,True,
pd1_pk_conc_scale,0.001,dimensionless,True,
pd1_pk_surface_scale,0.0005,dimensionless,True,
pd1_alignment_use_whitebox,0.0,dimensionless,True,
pd1_whitebox_tau_days,0.0,day,True,
tcell_alignment_tau_days,5.0,day,True,
tcell_alignment_w_live,2.0,dimensionless,True,
tcell_alignment_w_treg,1.0,dimensionless,True,
tcell_alignment_offset_cells,0.0,cell,True,
tcell_alignment_min_cells,0.0,cell,True,
tcell_alignment_occ_supp_coeff,0.0,dimensionless,True,
pd1_occ_tau1_days,7.0,day,True,
pd1_occ_tau2_days,15.0,day,True,
pd1_occ_delay_steps,0.0,dimensionless,True,
pd1_occ_volume_sensitivity,0.0,dimensionless,True,
pd1_occ_volume_reference_l,0.014,liter,True,
T_PD1_total,60000.0,molecule,False,
C_PDL1_total,1600000.0,molecule,False,
C_PDL2_total,40000.0,molecule,False,
APC_PDL1_total,1600000.0,molecule,False,
APC_PDL2_total,40000.0,molecule,False,
tcell_density_scale,1.0,dimensionless,True,
tcell_whitebox_tau_days,0.0,day,true,
